Specification,NetworkFile,Epsilon,Delta,TimeTaken,Counterexample,FairRegion,FairRegionPercent
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,80.12132787704468,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,80.37633681297302,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,80.60875797271729,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,80.86188507080078,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,81.11593413352966,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,81.37371230125427,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,81.5786943435669,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,81.8329484462738,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,82.06089448928833,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,82.33561444282532,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,82.58739519119263,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,82.87855005264282,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,83.08595895767212,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,83.34720492362976,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,83.60348129272461,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,83.83606433868408,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,84.09375524520874,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,84.35413002967834,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,84.64659523963928,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,84.89901423454285,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,85.15653824806213,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,85.44425630569458,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,85.69849824905396,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,85.98798418045044,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,86.20499038696289,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,86.46053838729858,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,86.69161534309387,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,86.94895529747009,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,87.20476222038269,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,87.42943406105042,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,87.69564008712769,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,87.9440450668335,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,88.230397939682,[],[],0
